AV2466,UIO,GYE,58,2026-02-04,06:30,91.00,Embraer 190,150
AV8542,UIO,GYE,56,2026-02-04,09:15,69.00,Embraer 190,150
AV5802,UIO,GYE,58,2026-02-04,13:00,89.00,Airbus A320,150
AV7978,UIO,GYE,52,2026-02-04,17:45,85.00,Airbus A320,150
AV4524,UIO,GYE,55,2026-02-04,21:00,87.00,Embraer 190,150
AV7887,UIO,CUE,45,2026-02-04,06:30,91.00,Boeing 737,150
AV5352,UIO,CUE,58,2026-02-04,09:15,66.00,Airbus A320,150
AV6119,UIO,CUE,48,2026-02-04,13:00,96.00,Boeing 737,150
AV3408,UIO,CUE,53,2026-02-04,17:45,66.00,Airbus A320,150
AV9877,UIO,CUE,46,2026-02-04,21:00,83.00,Embraer 190,150
AV3577,UIO,MEC,49,2026-02-04,06:30,66.00,Embraer 190,150
AV2784,UIO,MEC,50,2026-02-04,09:15,81.00,Boeing 737,150
AV6331,UIO,MEC,58,2026-02-04,13:00,75.00,Boeing 737,150
AV6351,UIO,MEC,53,2026-02-04,17:45,67.00,Boeing 737,150
AV1853,UIO,MEC,52,2026-02-04,21:00,70.00,Boeing 737,150
AV8916,UIO,GPS,120,2026-02-04,06:30,163.00,Airbus A320,150
AV3401,UIO,GPS,120,2026-02-04,09:15,174.00,Airbus A320,150
AV9503,UIO,GPS,120,2026-02-04,13:00,151.00,Boeing 737,150
AV6805,UIO,GPS,120,2026-02-04,17:45,164.00,Airbus A320,150
AV1845,UIO,GPS,120,2026-02-04,21:00,180.00,Boeing 737,150
AV5394,GYE,UIO,50,2026-02-04,06:30,84.00,Airbus A320,150
AV6799,GYE,UIO,56,2026-02-04,09:15,88.00,Embraer 190,150
AV2053,GYE,UIO,49,2026-02-04,13:00,94.00,Embraer 190,150
AV3867,GYE,UIO,49,2026-02-04,17:45,96.00,Embraer 190,150
AV5612,GYE,UIO,55,2026-02-04,21:00,87.00,Embraer 190,150
AV5125,GYE,CUE,56,2026-02-04,06:30,86.00,Boeing 737,150
AV1639,GYE,CUE,47,2026-02-04,09:15,83.00,Boeing 737,150
AV2435,GYE,CUE,49,2026-02-04,13:00,82.00,Embraer 190,150
AV7223,GYE,CUE,58,2026-02-04,17:45,76.00,Boeing 737,150
AV8523,GYE,CUE,45,2026-02-04,21:00,60.00,Embraer 190,150
AV1080,GYE,MEC,56,2026-02-04,06:30,90.00,Airbus A320,150
AV2878,GYE,MEC,55,2026-02-04,09:15,89.00,Boeing 737,150
AV4056,GYE,MEC,49,2026-02-04,13:00,67.00,Airbus A320,150
AV9319,GYE,MEC,52,2026-02-04,17:45,76.00,Boeing 737,150
AV5695,GYE,MEC,55,2026-02-04,21:00,99.00,Embraer 190,150
AV3002,GYE,GPS,120,2026-02-04,06:30,158.00,Airbus A320,150
AV2377,GYE,GPS,120,2026-02-04,09:15,169.00,Airbus A320,150
AV5601,GYE,GPS,120,2026-02-04,13:00,189.00,Airbus A320,150
AV9753,GYE,GPS,120,2026-02-04,17:45,167.00,Boeing 737,150
AV7716,GYE,GPS,120,2026-02-04,21:00,155.00,Airbus A320,150
AV5547,CUE,UIO,47,2026-02-04,06:30,78.00,Airbus A320,150
AV5611,CUE,UIO,46,2026-02-04,09:15,66.00,Boeing 737,150
AV8717,CUE,UIO,59,2026-02-04,13:00,89.00,Embraer 190,150
AV8157,CUE,UIO,56,2026-02-04,17:45,92.00,Embraer 190,150
AV8891,CUE,UIO,45,2026-02-04,21:00,97.00,Airbus A320,150
AV6644,CUE,GYE,57,2026-02-04,06:30,61.00,Boeing 737,150
AV2341,CUE,GYE,52,2026-02-04,09:15,81.00,Embraer 190,150
AV6147,CUE,GYE,53,2026-02-04,13:00,95.00,Boeing 737,150
AV2726,CUE,GYE,56,2026-02-04,17:45,71.00,Boeing 737,150
AV4204,CUE,GYE,49,2026-02-04,21:00,66.00,Embraer 190,150
AV4225,CUE,MEC,46,2026-02-04,06:30,74.00,Airbus A320,150
AV2852,CUE,MEC,48,2026-02-04,09:15,76.00,Airbus A320,150
AV5397,CUE,MEC,52,2026-02-04,13:00,91.00,Airbus A320,150
AV2547,CUE,MEC,56,2026-02-04,17:45,98.00,Boeing 737,150
AV9810,CUE,MEC,48,2026-02-04,21:00,62.00,Boeing 737,150
AV4953,CUE,GPS,120,2026-02-04,06:30,155.00,Airbus A320,150
AV6802,CUE,GPS,120,2026-02-04,09:15,157.00,Boeing 737,150
AV4048,CUE,GPS,120,2026-02-04,13:00,176.00,Boeing 737,150
AV3714,CUE,GPS,120,2026-02-04,17:45,187.00,Boeing 737,150
AV4744,CUE,GPS,120,2026-02-04,21:00,151.00,Boeing 737,150
AV5636,MEC,UIO,47,2026-02-04,06:30,85.00,Embraer 190,150
AV4755,MEC,UIO,53,2026-02-04,09:15,76.00,Airbus A320,150
AV7611,MEC,UIO,50,2026-02-04,13:00,99.00,Embraer 190,150
AV8140,MEC,UIO,49,2026-02-04,17:45,65.00,Airbus A320,150
AV4486,MEC,UIO,56,2026-02-04,21:00,98.00,Embraer 190,150
AV3086,MEC,GYE,49,2026-02-04,06:30,68.00,Embraer 190,150
AV1328,MEC,GYE,56,2026-02-04,09:15,68.00,Boeing 737,150
AV7622,MEC,GYE,56,2026-02-04,13:00,63.00,Embraer 190,150
AV9882,MEC,GYE,58,2026-02-04,17:45,69.00,Boeing 737,150
AV2846,MEC,GYE,57,2026-02-04,21:00,87.00,Embraer 190,150
AV6453,MEC,CUE,47,2026-02-04,06:30,97.00,Embraer 190,150
AV9877,MEC,CUE,53,2026-02-04,09:15,91.00,Airbus A320,150
AV8836,MEC,CUE,55,2026-02-04,13:00,81.00,Airbus A320,150
AV2620,MEC,CUE,49,2026-02-04,17:45,99.00,Boeing 737,150
AV6661,MEC,CUE,47,2026-02-04,21:00,87.00,Embraer 190,150
AV4373,MEC,GPS,120,2026-02-04,06:30,167.00,Airbus A320,150
AV8245,MEC,GPS,120,2026-02-04,09:15,169.00,Embraer 190,150
AV8019,MEC,GPS,120,2026-02-04,13:00,170.00,Embraer 190,150
AV4281,MEC,GPS,120,2026-02-04,17:45,181.00,Boeing 737,150
AV6105,MEC,GPS,120,2026-02-04,21:00,156.00,Embraer 190,150
AV1396,GPS,UIO,120,2026-02-04,06:30,153.00,Airbus A320,150
AV6424,GPS,UIO,120,2026-02-04,09:15,184.00,Embraer 190,150
AV4617,GPS,UIO,120,2026-02-04,13:00,164.00,Embraer 190,150
AV8792,GPS,UIO,120,2026-02-04,17:45,179.00,Boeing 737,150
